venue,venue_name,label,type,window_end_year,publication_years,papers_in_window,h5_index,h5_median
SoSyM,Software and Systems Modeling,SoSyM,journal,2021,"[2017, 2018, 2019, 2020, 2021]",449,42,65.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2022,"[2018, 2019, 2020, 2021, 2022]",456,40,62.5
SoSyM,Software and Systems Modeling,SoSyM,journal,2023,"[2019, 2020, 2021, 2022, 2023]",430,36,54.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2024,"[2020, 2021, 2022, 2023, 2024]",431,31,49.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2025,"[2021, 2022, 2023, 2024, 2025]",444,28,44.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2015,"[2011, 2012, 2013, 2014, 2015]",107,29,54.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2016,"[2012, 2013, 2014, 2015, 2016]",216,44,85.5
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2017,"[2013, 2014, 2015, 2016, 2017]",281,53,92.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2018,"[2014, 2015, 2016, 2017, 2018]",381,60,100.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2019,"[2015, 2016, 2017, 2018, 2019]",478,65,101.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2020,"[2016, 2017, 2018, 2019, 2020]",507,60,96.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2021,"[2017, 2018, 2019, 2020, 2021]",523,54,84.5
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2022,"[2018, 2019, 2020, 2021, 2022]",594,49,68.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2023,"[2019, 2020, 2021, 2022, 2023]",615,41,54.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2024,"[2020, 2021, 2022, 2023, 2024]",681,35,48.0
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",SANER,conference,2025,"[2021, 2022, 2023, 2024, 2025]",675,31,41.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2015,"[2011, 2012, 2013, 2014, 2015]",214,38,52.5
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2016,"[2012, 2013, 2014, 2015, 2016]",263,41,54.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2017,"[2013, 2014, 2015, 2016, 2017]",297,41,55.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2018,"[2014, 2015, 2016, 2017, 2018]",345,40,53.5
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2019,"[2015, 2016, 2017, 2018, 2019]",351,38,53.5
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2020,"[2016, 2017, 2018, 2019, 2020]",392,39,53.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2021,"[2017, 2018, 2019, 2020, 2021]",425,39,49.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2022,"[2018, 2019, 2020, 2021, 2022]",464,38,47.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2023,"[2019, 2020, 2021, 2022, 2023]",461,34,41.5
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2024,"[2020, 2021, 2022, 2023, 2024]",469,30,40.0
JSEP,Journal of Software: Evolution and Process,JSEP,journal,2025,"[2021, 2022, 2023, 2024, 2025]",471,25,33.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2015,"[2011, 2012, 2013, 2014, 2015]",185,44,100.5
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2016,"[2012, 2013, 2014, 2015, 2016]",266,51,98.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2017,"[2013, 2014, 2015, 2016, 2017]",345,58,109.5
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2018,"[2014, 2015, 2016, 2017, 2018]",433,61,105.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2019,"[2015, 2016, 2017, 2018, 2019]",422,55,93.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2020,"[2016, 2017, 2018, 2019, 2020]",453,51,84.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2021,"[2017, 2018, 2019, 2020, 2021]",451,49,79.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2022,"[2018, 2019, 2020, 2021, 2022]",450,42,65.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2023,"[2019, 2020, 2021, 2022, 2023]",433,35,52.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2024,"[2020, 2021, 2022, 2023, 2024]",433,31,48.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,ICSME,conference,2025,"[2021, 2022, 2023, 2024, 2025]",423,24,35.0
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2015,"[2011, 2012, 2013, 2014, 2015]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2016,"[2012, 2013, 2014, 2015, 2016]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2017,"[2013, 2014, 2015, 2016, 2017]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2018,"[2014, 2015, 2016, 2017, 2018]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2019,"[2015, 2016, 2017, 2018, 2019]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2020,"[2016, 2017, 2018, 2019, 2020]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2021,"[2017, 2018, 2019, 2020, 2021]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2022,"[2018, 2019, 2020, 2021, 2022]",0,0,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,conference,2023,"[2019, 2020, 2021, 2022, 2023]",0,0,
